Name,Email,Phone,Date,Query
Vipul Guar,vipulgaur2013@gmial.com,2342342343,16-Sep-2018,what is the program fees ?okay thanksexit
Ritesh Upreti,ritesh@gmail.com,3232313231,16-Sep-2018,what is the program fees ?tell me something about scholarship ?exit
Roshan Somani,roshan@gmail.com,8958474883,16-Sep-2018,tell me about the fee ?no
Abc,abc@gmail.com,123123121,16-Sep-2018,addresscourse structurescholarship ?stay ?accomodation ?course duration ?thank youno
Subject1,vipul@gamail.com,1232132312,16-Sep-2018,tell me something about yourselfabout aegis ?about muni /exit
Vipul,xyz@gmail.com,2342342343,16-Sep-2018,any events by ageis ?no
Deep Joshi,djdj@gmail.com,2342342343,16-Sep-2018,placementcourse detail ?what kind of course you provide ?tell me something about yourself ?no thanks
Ritesh Upreti,ssddf@yahoo.com,729949289579,17-Sep-2018,address?What is your addressaddress ?Course structure ?Fee?fee ?what us your name ?about yourselfyour gendereligibility criteriawork experiencecourse durationtimmingtimimghellono
Roshan Somani,roshan@gmail.com,2342342343,17-Sep-2018,address ?eligible ?work exp ?no
Abc,abc@gmail.com,324324322,17-Sep-2018,helloaddressworkbyee
Nihal Naik,nihal@gmail.com,2343345453,17-Sep-2018,fees ?how many courses you provide ?what is the scholarship program ?no
Roshan Somani,roshan@gamil.com,5645645645,17-Sep-2018,helloWhat are the courses you provide ?what program do you offer ?do you provide hostel facilities ?scholarship ?waht is the eligibility criteria ?do i need a work exp ?what is your name ?no 
Vipul,vipul@gmail.com,3423423423,17-Sep-2018,what courses are available ?what is the fees of the program ?twll mw somwthing about yourself ?no
Vipul,vipul@gamil.com,235345345,17-Sep-2018,what is the fees of the program ?what is the program timing ?what is the inital installment ?no
Vipul,vipul@gmail.com,3434343434,21-Sep-2018,what courses do you offer ?what is the fees of the program ?no
Vipul,vipul@gmail.com,2323232323,28-Sep-2018,fess of the program ?no
Roshan,roshan@gmail.com,6778676767,28-Sep-2018,feesno
